latitude,longitude,bikes available,distance,name,categories,price,rating,category
20.58065,-100.40985,12,270.08098203444536,Fogon do Brasil,"[{'alias': 'brazilian', 'title': 'Brazilian'}]",2,3.0,brazilian
20.58065,-100.40985,12,919.1377255821862,Josecho,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'international', 'title': 'International'}]",4,5.0,wine_bars
20.58065,-100.40985,12,919.1377255821862,Josecho,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'international', 'title': 'International'}]",4,5.0,international
20.58065,-100.40985,12,1001.4996274292365,Karnes en Su Jugo,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}]",2,4.8,comfortfood
20.58065,-100.40985,12,989.5846912507262,Ichiban,"[{'alias': 'japanese', 'title': 'Japanese'}]",2,3.8,japanese
20.58065,-100.40985,12,641.4122809237988,Pawa,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",2,0.0,japanese
20.58065,-100.40985,12,641.4122809237988,Pawa,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",2,0.0,asianfusion
20.58065,-100.40985,12,985.0333864317723,Pizzeria La Tómbola,"[{'alias': 'pizza', 'title': 'Pizza'}]",2,3.8,pizza
20.58065,-100.40985,12,1289.7525451297515,Las Delicias,"[{'alias': 'mexican', 'title': 'Mexican'}]",2,5.0,mexican
20.58065,-100.40985,12,1138.5719433369422,El Fogón del Pastor,"[{'alias': 'mexican', 'title': 'Mexican'}]",1,3.2,mexican
20.58065,-100.40985,12,793.9256855261241,Biergarten Eder,"[{'alias': 'german', 'title': 'German'}, {'alias': 'beergardens', 'title': 'Beer Gardens'}]",2,0.0,german
20.58065,-100.40985,12,793.9256855261241,Biergarten Eder,"[{'alias': 'german', 'title': 'German'}, {'alias': 'beergardens', 'title': 'Beer Gardens'}]",2,0.0,beergardens
20.58065,-100.40985,12,1015.2471582199248,Cafe Amadeus,"[{'alias': 'german', 'title': 'German'}]",2,3.7,german
20.58065,-100.40985,12,595.8029353643742,Italianni's,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",2,2.5,italian
20.58065,-100.40985,12,595.8029353643742,Italianni's,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",2,2.5,wine_bars
20.58065,-100.40985,12,611.753314385608,Sirloin Stockade,"[{'alias': 'buffets', 'title': 'Buffets'}]",2,2.0,buffets
20.58065,-100.40985,12,593.926455191836,Chili's,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]",2,3.0,tradamerican
20.58065,-100.40985,12,593.926455191836,Chili's,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]",2,3.0,tex-mex
20.58065,-100.40985,12,1037.8154184165255,De Cortés a Bravo,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'seafood', 'title': 'Seafood'}]",2,0.0,tacos
20.58065,-100.40985,12,1037.8154184165255,De Cortés a Bravo,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'seafood', 'title': 'Seafood'}]",2,0.0,seafood
20.58065,-100.40985,12,618.87746817876,Don Carbón,"[{'alias': 'mexican', 'title': 'Mexican'}]",1,3.0,mexican
20.58065,-100.40985,12,547.9726977437078,Sanborns Restaurant,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]",1,0.0,bars
20.58065,-100.40985,12,547.9726977437078,Sanborns Restaurant,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]",1,0.0,mexican
20.58065,-100.40985,12,949.2752881812447,Subway,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}]",1,1.5,sandwiches
20.58065,-100.40985,12,949.2752881812447,Subway,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}]",1,1.5,salad
20.58065,-100.40985,12,1139.5093364125976,The Italian Coffee Company,"[{'alias': 'cafeteria', 'title': 'Cafeteria'}]",2,0.0,cafeteria
20.584879,-100.4023,5,1169.5500257882732,Tikua Sureste,"[{'alias': 'oaxacan', 'title': 'Oaxacan'}, {'alias': 'yucatan', 'title': 'Yucatan'}]",2,4.7,oaxacan
20.584879,-100.4023,5,1169.5500257882732,Tikua Sureste,"[{'alias': 'oaxacan', 'title': 'Oaxacan'}, {'alias': 'yucatan', 'title': 'Yucatan'}]",2,4.7,yucatan
20.584879,-100.4023,5,890.7502818482272,Las Monjas,"[{'alias': 'mexican', 'title': 'Mexican'}]",2,4.3,mexican
20.584879,-100.4023,5,1383.8435327527775,La Charamusca,"[{'alias': 'cafeteria', 'title': 'Cafeteria'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1,4.8,cafeteria
20.584879,-100.4023,5,1383.8435327527775,La Charamusca,"[{'alias': 'cafeteria', 'title': 'Cafeteria'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1,4.8,coffee
20.584879,-100.4023,5,1204.8725443722758,Comedor De La Marquesa,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",2,4.1,mexican
20.584879,-100.4023,5,1204.8725443722758,Comedor De La Marquesa,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",2,4.1,breakfast_brunch
20.584879,-100.4023,5,978.4954104461617,Erlum,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}]",2,4.7,gastropubs
20.584879,-100.4023,5,424.94055652300244,Las Delicias,"[{'alias': 'mexican', 'title': 'Mexican'}]",2,5.0,mexican
20.584879,-100.4023,5,740.8824320650791,Portal de Santa Rosa,"[{'alias': 'mexican', 'title': 'Mexican'}]",1,5.0,mexican
20.584879,-100.4023,5,926.755001900768,Tacos el Pata,"[{'alias': 'tacos', 'title': 'Tacos'}]",2,4.0,tacos
20.584879,-100.4023,5,221.16844627784707,Biergarten Eder,"[{'alias': 'german', 'title': 'German'}, {'alias': 'beergardens', 'title': 'Beer Gardens'}]",2,0.0,german
